variable_name,value_type
155045_route,Categorical
155050_dose,Numeric
155050_route,Categorical
155054_dose,Numeric
155054_route,Categorical
155056_dose,Numeric
155056_route,Categorical
155059_dose,Numeric
155059_route,Categorical
155060_dose,Numeric
155060_route,Categorical
155063_dose,Numeric
155063_route,Categorical
155067_dose,Numeric
155067_route,Categorical
155068_dose,Numeric
155068_route,Categorical
155074_dose,Numeric
155074_route,Categorical
155076_dose,Numeric
155076_route,Categorical
155079_dose,Numeric
155079_route,Categorical
155081_dose,Numeric
155081_route,Categorical
155082_dose,Numeric
155082_route,Categorical
155088_dose,Numeric
155088_route,Categorical
155090_dose,Numeric
155090_route,Categorical
155093_dose,Numeric
155093_route,Categorical
155094_dose,Numeric
155094_route,Categorical
155095_dose,Numeric
155095_route,Categorical
155096_dose,Numeric
155096_route,Categorical
155098_dose,Numeric
155098_route,Categorical
155100_dose,Numeric
155100_route,Categorical
183360_dose,Numeric
183360_route,Categorical
183367_dose,Numeric
183367_route,Categorical
183370_dose,Numeric
183370_route,Categorical
183373_dose,Numeric
183373_route,Categorical
183374_dose,Numeric
183374_route,Categorical
183375_dose,Numeric
183375_route,Categorical
183376_dose,Numeric
183376_route,Categorical
183380_dose,Numeric
183380_route,Categorical
183383_dose,Numeric
183383_route,Categorical
183386_dose,Numeric
183386_route,Categorical
183392_dose,Numeric
183392_route,Categorical
183405_dose,Numeric
183405_route,Categorical
183409_dose,Numeric
183409_route,Categorical
183411_dose,Numeric
183411_route,Categorical
183412_dose,Numeric
183412_route,Categorical
183413_dose,Numeric
183413_route,Categorical
183414_dose,Numeric
183414_route,Categorical
183415_dose,Numeric
183415_route,Categorical
183417_dose,Numeric
183417_route,Categorical
183418_dose,Numeric
183418_route,Categorical
183419_dose,Numeric
183419_route,Categorical
183421_dose,Numeric
183421_route,Categorical
183426_dose,Numeric
183426_route,Categorical
183427_dose,Numeric
183427_route,Categorical
183435_dose,Numeric
183435_route,Categorical
183436_dose,Numeric
183436_route,Categorical
183458_dose,Numeric
183458_route,Categorical
183461_dose,Numeric
183461_route,Categorical
183471_dose,Numeric
183471_route,Categorical
183483_dose,Numeric
183483_route,Categorical
183485_dose,Numeric
183485_route,Categorical
183491_dose,Numeric
183491_route,Categorical
183492_dose,Numeric
183492_route,Categorical
183493_dose,Numeric
183493_route,Categorical
183495_dose,Numeric
183495_route,Categorical
183496_dose,Numeric
183496_route,Categorical
183502_dose,Numeric
183502_route,Categorical
183507_dose,Numeric
183507_route,Categorical
183509_dose,Numeric
183509_route,Categorical
183513_dose,Numeric
183513_route,Categorical
183516_dose,Numeric
183516_route,Categorical
183520_dose,Numeric
183520_route,Categorical
183523_dose,Numeric
183523_route,Categorical
183527_dose,Numeric
183527_route,Categorical
183532_dose,Numeric
183532_route,Categorical
183538_dose,Numeric
183538_route,Categorical
183540_dose,Numeric
183540_route,Categorical
183552_dose,Numeric
183552_route,Categorical
183553_dose,Numeric
183553_route,Categorical
183554_dose,Numeric
183554_route,Categorical
183555_dose,Numeric
183555_route,Categorical
183556_dose,Numeric
183556_route,Categorical
183558_dose,Numeric
